# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];Trc13_S11[dB];Trc15_S21[dB];re:Trc16_S11[U];im:Trc16_S11[U];Trc17_S21[°];
5.265600000000000E+006;-4.748073285020770E-002;-2.497086815511229E+001;-9.853961081560746E-001;1.346150570653720E-001;7.235467119488627E+001;
5.265700000000000E+006;-4.724388239014205E-002;-2.497349389932246E+001;-9.854191915673797E-001;1.346464472544050E-001;7.230244772170299E+001;
5.265800000000000E+006;-4.735984784530461E-002;-2.498025788114579E+001;-9.853989758999473E-001;1.346963042601719E-001;7.235381106178710E+001;
5.265900000000000E+006;-4.786578464469776E-002;-2.496787664562859E+001;-9.853311651713591E-001;1.347646280651154E-001;7.230192339918457E+001;
5.266000000000000E+006;-4.793290399680273E-002;-2.496909872489221E+001;-9.853244537593618E-001;1.347569871115278E-001;7.223451663036822E+001;
5.266100000000000E+006;-4.789742420560358E-002;-2.495478612453770E+001;-9.853163576551517E-001;1.348461344445600E-001;7.224526825828933E+001;
5.266200000000000E+006;-4.742815453353001E-002;-2.495208294303172E+001;-9.853717655405002E-001;1.348375402922126E-001;7.233041246402573E+001;
5.266300000000000E+006;-4.776450701840483E-002;-2.495653808132303E+001;-9.853295998785780E-001;1.348616117808000E-001;7.229043551992200E+001;
5.266400000000000E+006;-4.814503689980763E-002;-2.495507888576575E+001;-9.852820630650315E-001;1.348876305237136E-001;7.231727058512338E+001;
5.266500000000000E+006;-4.786168243840334E-002;-2.494034760609108E+001;-9.853038730843166E-001;1.349674847341764E-001;7.229326101692811E+001;
5.266600000000000E+006;-4.799606801894035E-002;-2.493973882645980E+001;-9.852778865673065E-001;1.350437954279388E-001;7.221345239638961E+001;
5.266700000000000E+006;-4.798353961458875E-002;-2.493784993461841E+001;-9.852793566192553E-001;1.350436334387847E-001;7.224239268866128E+001;
5.266800000000000E+006;-4.790151986176924E-002;-2.493258501843044E+001;-9.852860100402785E-001;1.350642452345648E-001;7.230345111856423E+001;
5.266900000000000E+006;-4.812187150497020E-002;-2.492118337575151E+001;-9.852573156492622E-001;1.350878005724358E-001;7.233689293798676E+001;
5.267000000000000E+006;-4.845382094504837E-002;-2.492742822185008E+001;-9.852141954981016E-001;1.351225068237175E-001;7.229028272359230E+001;
5.267100000000000E+006;-4.776379813720867E-002;-2.493213441852946E+001;-9.852779546575454E-001;1.352390041202076E-001;7.229833624212922E+001;
5.267200000000000E+006;-4.825737140776792E-002;-2.491540485716884E+001;-9.852257370102742E-001;1.352038583571050E-001;7.228446836542584E+001;
5.267300000000000E+006;-4.762753634498902E-002;-2.492020529712138E+001;-9.852898614776272E-001;1.352669870509412E-001;7.221323460075044E+001;
5.267400000000000E+006;-4.786614152391795E-002;-2.490650291689621E+001;-9.852650412976268E-001;1.352469118261206E-001;7.221084027849878E+001;
5.267500000000000E+006;-4.812169481188899E-002;-2.490849188851707E+001;-9.852326516876844E-001;1.352677130327367E-001;7.227578308664054E+001;
5.267600000000000E+006;-4.817762248014442E-002;-2.491026046523808E+001;-9.852143107262221E-001;1.353541955225501E-001;7.224264490320702E+001;
5.267700000000000E+006;-4.824905213219723E-002;-2.489482478249956E+001;-9.852037830747222E-001;1.353707369250486E-001;7.224986463894079E+001;
5.267800000000000E+006;-4.834150464912667E-002;-2.489847538719447E+001;-9.851877619162293E-001;1.354095706054230E-001;7.224392538356459E+001;
5.267900000000000E+006;-4.804968700015927E-002;-2.489389293742203E+001;-9.852218127747953E-001;1.354071992795537E-001;7.224269250254415E+001;
5.268000000000000E+006;-4.845876570986460E-002;-2.488186408365943E+001;-9.851683746342280E-001;1.354520230217304E-001;7.224011777430609E+001;
5.268100000000000E+006;-4.805343075723109E-002;-2.489486216402511E+001;-9.852086076086261E-001;1.355000993768226E-001;7.223421532454240E+001;
5.268200000000000E+006;-4.855148576202325E-002;-2.488358924978548E+001;-9.851385743217035E-001;1.355907586945025E-001;7.222318785644463E+001;
5.268300000000000E+006;-4.809119204253979E-002;-2.487847184882370E+001;-9.851814940005497E-001;1.356654052145145E-001;7.225481858489758E+001;
5.268400000000000E+006;-4.799188704456416E-002;-2.486987428652563E+001;-9.852030777224660E-001;1.355919916990868E-001;7.228867583469302E+001;
5.268500000000000E+006;-4.855338281516751E-002;-2.485534942701165E+001;-9.851259465662287E-001;1.356808826088323E-001;7.216223115977644E+001;
5.268600000000000E+006;-4.819688227315939E-002;-2.486197789642973E+001;-9.851722132396559E-001;1.356440959579398E-001;7.221828265130543E+001;
5.268700000000000E+006;-4.859723397737055E-002;-2.485239474592750E+001;-9.851116951267674E-001;1.357475444727535E-001;7.220404711366876E+001;
5.268800000000000E+006;-4.881908116886018E-002;-2.485898619873265E+001;-9.850886272516360E-001;1.357288903360140E-001;7.219349448633993E+001;
5.268900000000000E+006;-4.838663984039525E-002;-2.484947350271550E+001;-9.851168705528293E-001;1.358865398986575E-001;7.220309539579293E+001;
5.269000000000000E+006;-4.895642414288393E-002;-2.485364757685227E+001;-9.850609504247939E-001;1.358145381246714E-001;7.227195984893380E+001;
5.269100000000000E+006;-4.890067856704029E-002;-2.483857084267936E+001;-9.850590279021351E-001;1.358751944217135E-001;7.217342488642993E+001;
5.269200000000000E+006;-4.852606176583886E-002;-2.484260490650703E+001;-9.850881695358260E-001;1.359777618884176E-001;7.218887816725034E+001;
5.269300000000000E+006;-4.846866960613007E-002;-2.484007582415821E+001;-9.850998493763600E-001;1.359411951138314E-001;7.221156761556517E+001;
